model,benchmark,score
Chemprop,polaris/adme-fang-solu-1,0.5763622162909174
RF,polaris/adme-fang-solu-1,0.5790237904811822
RF_Mordred,polaris/adme-fang-solu-1,0.5293307811958299
RF,polaris/adme-fang-solu-1,0.5727381088385395
MoLFormer,polaris/adme-fang-solu-1,0.5560376659265465
RF_Mordred,polaris/adme-fang-solu-1,0.5362095232329354
fastprop,polaris/adme-fang-solu-1,0.5485783628872404
MoLFormer,polaris/adme-fang-solu-1,0.5782666080492838
fastprop,polaris/adme-fang-solu-1,0.5462900721945965
CheMeleon,polaris/adme-fang-solu-1,0.6768512300853301
RF_Mordred,polaris/adme-fang-solu-1,0.5470436836730058
RF,polaris/adme-fang-solu-1,0.5685562546868163
fastprop,polaris/adme-fang-solu-1,0.5409506824691828
MoLFormer,polaris/adme-fang-solu-1,0.5828956129679115
MiniCheMeleon,polaris/adme-fang-solu-1,0.593812747879707
MolCLR,polaris/adme-fang-solu-1,0.503364119361664
MiniCheMeleon,polaris/adme-fang-solu-1,0.6032232866719306
MiniCheMeleon,tdcommons/pgp-broccatelli,0.9032258064516129
RF,tdcommons/pgp-broccatelli,0.9253865635830445
CheMeleon,tdcommons/pgp-broccatelli,0.9100906424953346
RF_Mordred,tdcommons/pgp-broccatelli,0.886830178619035
minimol,tdcommons/pgp-broccatelli,0.9419488136496933
MolCLR,tdcommons/pgp-broccatelli,0.851506264996001
RF_Mordred,tdcommons/pgp-broccatelli,0.8985937083444414
MoLFormer,tdcommons/pgp-broccatelli,0.9236870167955212
fastprop,tdcommons/pgp-broccatelli,0.9252199413489736
MoLFormer,tdcommons/pgp-broccatelli,0.922020794454812
RF,tdcommons/pgp-broccatelli,0.9261530258597707
fastprop,tdcommons/pgp-broccatelli,0.9138896294321515
fastprop,tdcommons/pgp-broccatelli,0.9193548387096775
fastprop,tdcommons/pgp-broccatelli,0.9249533457744601
MoLFormer,tdcommons/pgp-broccatelli,0.8985603838976273
RF_Mordred,tdcommons/pgp-broccatelli,0.8921954145561184
RF,tdcommons/pgp-broccatelli,0.9199880031991469
Chemprop,tdcommons/pgp-broccatelli,0.8794321514262863
MiniCheMeleon,tdcommons/pgp-broccatelli,0.8981604905358571
CheMeleon,tdcommons/pgp-broccatelli,0.9365502532657958
RF_Mordred,tdcommons/pgp-broccatelli,0.8929618768328447
RF,tdcommons/pgp-broccatelli,0.9284857371367635
Chemprop,tdcommons/pgp-broccatelli,0.8904958677685951
Chemprop,tdcommons/pgp-broccatelli,0.8833644361503599
MoLFormer,tdcommons/pgp-broccatelli,0.9190882431351639
RF,tdcommons/pgp-broccatelli,0.923653692348707
minimol,tdcommons/pgp-broccatelli,0.936750199946681
fastprop,tdcommons/pgp-broccatelli,0.9241535590509198
Chemprop,tdcommons/pgp-broccatelli,0.871900826446281
minimol,tdcommons/pgp-broccatelli,0.9434150893095175
MolCLR,tdcommons/pgp-broccatelli,0.8515729138896293
MoLFormer,tdcommons/pgp-broccatelli,0.9023593708344442
Chemprop,tdcommons/pgp-broccatelli,0.9110237270061317
MiniCheMeleon,tdcommons/pgp-broccatelli,0.8960277259397494
RF_Mordred,tdcommons/pgp-broccatelli,0.8956611570247935
MolCLR,tdcommons/pgp-broccatelli,0.8563716342308718
MolCLR,tdcommons/pgp-broccatelli,0.8331778192482004
CheMeleon,tdcommons/pgp-broccatelli,0.9341508930951746
CheMeleon,tdcommons/pgp-broccatelli,0.9295521194348174
MolCLR,tdcommons/pgp-broccatelli,0.8426419621434285
CheMeleon,tdcommons/pgp-broccatelli,0.9240869101572914
minimol,tdcommons/pgp-broccatelli,0.9455478539056251
MiniCheMeleon,tdcommons/pgp-broccatelli,0.9064249533457743
minimol,tdcommons/pgp-broccatelli,0.9403492402026127
MiniCheMeleon,tdcommons/pgp-broccatelli,0.9023593708344441
MoLFormer,tdcommons/clearance-hepatocyte-az,0.24435213942397913
RF,tdcommons/clearance-hepatocyte-az,0.4533001331792948
MolCLR,tdcommons/clearance-hepatocyte-az,0.2821261656534393
fastprop,tdcommons/clearance-hepatocyte-az,0.3369398409280782
RF_Mordred,tdcommons/clearance-hepatocyte-az,0.2963675047906221
CheMeleon,tdcommons/clearance-hepatocyte-az,0.293650393726857
MolCLR,tdcommons/clearance-hepatocyte-az,0.28129221338590055
MolCLR,tdcommons/clearance-hepatocyte-az,0.23629560406643527
CheMeleon,tdcommons/clearance-hepatocyte-az,0.4025948972482501
MolCLR,tdcommons/clearance-hepatocyte-az,0.26396164776163283
MiniCheMeleon,tdcommons/clearance-hepatocyte-az,0.3769079336056327
minimol,tdcommons/clearance-hepatocyte-az,0.4377218100910761
MiniCheMeleon,tdcommons/clearance-hepatocyte-az,0.37534961482470314
minimol,tdcommons/clearance-hepatocyte-az,0.39263433177685103
CheMeleon,tdcommons/clearance-hepatocyte-az,0.40744604550529934
Chemprop,tdcommons/clearance-hepatocyte-az,0.3788209216347244
